,name,rating,genre,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,release month num,release date,release quarter,release day of week
6796,Black Sheep,Not Rated,Comedy,5.8,40000.0,Jonathan King,Jonathan King,Oliver Driver,New Zealand,-3108699.528563753,4947717.0,New Zealand Film Commission,87.0,March,29,2007,3,2007-03-29,1,Thursday
6819,Shelter,R,Drama,7.7,22000.0,Jonah Markowitz,Jonah Markowitz,Trevor Wright,United States,-4892563.9441936985,142666.0,GP Pictures,97.0,April,16,2009,4,2009-04-16,2,Thursday
6828,"4 Months, 3 Weeks and 2 Days",Not Rated,Drama,7.9,58000.0,Cristian Mungiu,Cristian Mungiu,Anamaria Marinca,Romania,-4634652.481697638,10174839.0,Mobra Films,113.0,September,14,2007,9,2007-09-14,3,Friday
6831,Eagle vs Shark,R,Comedy,6.8,24000.0,Taika Waititi,Loren Taylor,Loren Taylor,New Zealand,-1236874.556838423,1298037.0,New Zealand Film Commission,88.0,August,30,2007,8,2007-08-30,3,Thursday
6848,Eden Lake,R,Horror,6.8,79000.0,James Watkins,James Watkins,Kelly Reilly,United Kingdom,-4955528.044347327,3984669.0,Rollercoaster Films,91.0,September,12,2008,9,2008-09-12,3,Friday
6851,Hunger,Not Rated,Biography,7.5,68000.0,Steve McQueen,Enda Walsh,Stuart Graham,Ireland,-11239115.876919758,3185113.0,Film4,96.0,October,31,2008,10,2008-10-31,4,Friday
6879,Dogtooth,Not Rated,Drama,7.2,87000.0,Yorgos Lanthimos,Efthymis Filippou,Christos Stergioglou,Greece,-9767673.051872406,676126.0,Boo Productions,97.0,November,11,2009,11,2009-11-11,4,Wednesday
6889,In the Loop,Not Rated,Comedy,7.4,56000.0,Armando Iannucci,Jesse Armstrong,Tom Hollander,United Kingdom,-2972314.942397684,7787487.0,BBC Films,106.0,September,4,2009,9,2009-09-04,3,Friday
6900,Daniel and Ana,Not Rated,Drama,6.1,1500.0,Michel Franco,Michel Franco,Dario Yazbek Bernal,Mexico,-6651870.559198383,2372.0,Alameda Films,90.0,August,27,2010,8,2010-08-27,3,Friday
6906,Boy,Not Rated,Comedy,7.5,23000.0,Taika Waititi,Taika Waititi,James Rolleston,New Zealand,-8706363.584377944,43551154.0,Whenua Films,87.0,March,25,2010,3,2010-03-25,1,Thursday
6907,Tucker and Dale vs Evil,R,Comedy,7.5,169000.0,Eli Craig,Eli Craig,Tyler Labine,Canada,-4390687.39168966,5224938.0,Reliance Big Pictures,89.0,December,9,2010,12,2010-12-09,4,Thursday
6918,Certified Copy,Not Rated,Drama,7.3,22000.0,Abbas Kiarostami,Abbas Kiarostami,Juliette Binoche,France,-4858845.448717501,7736632.0,MK2 Productions,106.0,March,25,2011,3,2011-03-25,1,Friday
6935,Kaboom,Not Rated,Comedy,5.7,13000.0,Gregg Araki,Gregg Araki,Thomas Dekker,United States,-3626981.371023916,635162.0,Desperate Pictures,86.0,October,6,2010,10,2010-10-06,4,Wednesday
6947,"Oslo, August 31st",Not Rated,Drama,7.6,21000.0,Joachim Trier,Pierre Drieu La Rochelle,Anders Danielsen Lie,Norway,-13362841.954707194,1470679.0,Motlys,95.0,August,31,2011,8,2011-08-31,3,Wednesday
6950,Perfect Sense,R,Drama,7.1,58000.0,David Mackenzie,Kim Fupz Aakeson,Ewan McGregor,United Kingdom,-3510724.9449044093,933352.0,BBC Films,92.0,October,7,2011,10,2011-10-07,4,Friday
6951,Detachment,Not Rated,Drama,7.7,79000.0,Tony Kaye,Carl Lund,Adrien Brody,United States,-12305949.545100246,1688710.0,Paper Street Films,98.0,February,1,2012,2,2012-02-01,1,Wednesday
6959,Weekend,Not Rated,Drama,7.6,29000.0,Andrew Haigh,Andrew Haigh,Tom Cullen,United Kingdom,-12343797.212592429,1192003.0,EM Media,97.0,November,4,2011,11,2011-11-04,4,Friday
6972,Tyrannosaur,Not Rated,Drama,7.6,31000.0,Paddy Considine,Paddy Considine,Peter Mullan,United Kingdom,-15018996.18902604,676111.0,Warp X,92.0,October,7,2011,10,2011-10-07,4,Friday
6974,Lore,Not Rated,Drama,7.1,15000.0,Cate Shortland,Cate Shortland,Saskia Rosendahl,Australia,-2764107.778038513,2362019.0,Rohfilm,109.0,September,20,2012,9,2012-09-20,3,Thursday
6977,Frances Ha,R,Comedy,7.5,78000.0,Noah Baumbach,Noah Baumbach,Greta Gerwig,United States,-5589010.409082606,9058065.0,Pine District Pictures,86.0,August,23,2013,8,2013-08-23,3,Friday
6987,The Bay,R,Horror,5.7,26000.0,Barry Levinson,Michael Wallach,Will Rogers,United States,-2019809.863464769,1581252.0,Automatik Entertainment,84.0,November,21,2012,11,2012-11-21,4,Wednesday
6988,The Broken Circle Breakdown,Not Rated,Drama,7.7,40000.0,Felix van Groeningen,Johan Heldenbergh,Veerle Baetens,Belgium,-5004901.762153681,5990754.0,Menuet Producties,111.0,October,10,2012,10,2012-10-10,4,Wednesday
6990,Starlet,Not Rated,Drama,6.9,7200.0,Sean Baker,Sean Baker,Dree Hemingway,United States,-4935550.150884096,146222.0,Maybach Film Productions,103.0,May,9,2013,5,2013-05-09,2,Thursday
6995,28 Hotel Rooms,Not Rated,Drama,5.8,3200.0,Matt Ross,Matt Ross,Marin Ireland,United States,-8894264.420389239,131208.0,Mott Street Pictures,82.0,November,9,2012,11,2012-11-09,4,Friday
7005,Like Someone in Love,Not Rated,Drama,7.0,11000.0,Abbas Kiarostami,Abbas Kiarostami,Rin Takanashi,Japan,-2379133.408788945,562878.0,Centre national du cinéma et de l'image animée (CNC),109.0,September,15,2012,9,2012-09-15,3,Saturday
7013,Enemy,R,Drama,6.9,175000.0,Denis Villeneuve,José Saramago,Jake Gyllenhaal,Canada,-2213716.745603174,3468224.0,Pathé,91.0,February,6,2014,2,2014-02-06,1,Thursday
7015,Young & Beautiful,Not Rated,Drama,6.7,33000.0,François Ozon,François Ozon,Marine Vacth,France,-6482177.133373465,9757417.0,Mandarin Films,95.0,April,25,2014,4,2014-04-25,2,Friday
7016,Big Bad Wolves,Not Rated,Drama,6.8,16000.0,Aharon Keshales,Aharon Keshales,Lior Ashkenazi,Israel,-612243.4215793274,291239.0,United Channel Movies,110.0,August,15,2013,8,2013-08-15,3,Thursday
7021,Short Term 12,R,Drama,8.0,84000.0,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,United States,-7014263.008923978,1645164.0,Animal Kingdom,96.0,August,23,2013,8,2013-08-23,3,Friday
7031,Starred Up,Not Rated,Crime,7.4,44000.0,David Mackenzie,Jonathan Asser,Jack O'Connell,United Kingdom,-1300106.058881048,3025189.0,Film4,106.0,August,26,2014,8,2014-08-26,3,Tuesday
7036,A Field in England,Not Rated,Drama,6.3,12000.0,Ben Wheatley,Amy Jump,Julian Barratt,United Kingdom,-7894708.008560691,97195.0,Film4,90.0,July,5,2013,7,2013-07-05,3,Friday
7054,Goodnight Mommy,R,Horror,6.7,47000.0,Severin Fiala,Veronika Franz,Lukas Schwarz,Austria,-443915.2481765859,2193474.0,Ulrich Seidl Film Produktion GmbH,99.0,September,11,2015,9,2015-09-11,3,Friday
7062,Spring,Not Rated,Horror,6.7,26000.0,Justin Benson,Justin Benson,Lou Taylor Pucci,United States,-3797943.526195243,49970.0,Rustic Films,109.0,March,20,2015,3,2015-03-20,1,Friday
7090,The Invitation,Not Rated,Drama,6.6,100000.0,Karyn Kusama,Phil Hay,Logan Marshall-Green,United States,-4403187.905141931,354835.0,Gamechanger Films,100.0,April,8,2016,4,2016-04-08,2,Friday
7099,Summertime,Not Rated,Drama,6.7,4500.0,Catherine Corsini,Catherine Corsini,Cécile de France,France,-2128378.9907661937,3778938.0,Chaz Productions,105.0,August,19,2015,8,2015-08-19,3,Wednesday
7110,Land of Mine,R,Drama,7.8,38000.0,Martin Zandvliet,Martin Zandvliet,Roland Møller,Denmark,-3524825.279355027,3169553.0,Nordisk Film,100.0,December,3,2015,12,2015-12-03,4,Thursday
7112,The Lure,Not Rated,Drama,6.3,7200.0,Agnieszka Smoczynska,Robert Bolesto,Marta Mazurek,Poland,-6857975.966535773,108846.0,Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF),92.0,December,25,2015,12,2015-12-25,4,Friday
7116,Southbound,R,Horror,5.9,17000.0,Directors,Matt Bettinelli-Olpin,Chad Villella,United States,-911059.7673241086,35275.0,Soapbox Films,89.0,February,9,2016,2,2016-02-09,1,Tuesday
7117,Men & Chicken,Not Rated,Comedy,6.7,11000.0,Anders Thomas Jensen,Anders Thomas Jensen,David Dencik,Denmark,-46195.54948952794,4765472.0,M&M Productions,104.0,February,5,2015,2,2015-02-05,1,Thursday
7122,The Overnight,R,Comedy,6.1,16000.0,Patrick Brice,Patrick Brice,Adam Scott,United States,-1513227.4327497557,1110522.0,Duplass Brothers Productions,79.0,June,19,2015,6,2015-06-19,2,Friday
7124,Remember,R,Drama,7.5,24000.0,Atom Egoyan,Benjamin August,Christopher Plummer,Canada,-4622990.749462776,4235959.0,Serendipity Point Films,94.0,December,17,2015,12,2015-12-17,4,Thursday
7125,45 Years,R,Drama,7.1,32000.0,Andrew Haigh,Andrew Haigh,Charlotte Rampling,United Kingdom,-2238562.9666836336,14430249.0,BFI Film Fund,91.0,August,28,2015,8,2015-08-28,3,Friday
7126,Lady Macbeth,R,Drama,6.8,21000.0,William Oldroyd,Nikolai Leskov,Florence Pugh,United Kingdom,-2619852.2864010483,5401447.0,Sixty-Six Pictures,89.0,July,14,2017,7,2017-07-14,3,Friday
7136,White Girl,Not Rated,Crime,5.7,10000.0,Elizabeth Wood,Elizabeth Wood,Morgan Saylor,United States,-306694.2877304815,200242.0,Bank Street Films,88.0,December,1,2016,12,2016-12-01,4,Thursday
7141,The Void,Not Rated,Horror,5.9,33000.0,Jeremy Gillespie,Jeremy Gillespie,Aaron Poole,Canada,-8559645.225138888,368372.0,120dB Films,90.0,April,7,2017,4,2017-04-07,2,Friday
7148,The Untamed,Not Rated,Drama,6.1,5000.0,Amat Escalante,Amat Escalante,Ruth Ramos,Mexico,-2464514.021938484,61249.0,Mantarraya Producciones,98.0,July,21,2017,7,2017-07-21,3,Friday
7152,"I, Daniel Blake",R,Drama,7.9,56000.0,Ken Loach,Paul Laverty,Dave Johns,United Kingdom,-2411662.681266532,15793051.0,Sixteen Films,100.0,June,9,2017,6,2017-06-09,2,Friday
7157,Carrie Pilby,Not Rated,Comedy,6.7,9800.0,Susan Johnson,Kara Holden,Bel Powley,United States,-3823432.0196432695,28430.0,Braveart Films,98.0,April,4,2017,4,2017-04-04,2,Tuesday
7176,Lucky,Not Rated,Comedy,7.4,21000.0,John Carroll Lynch,Logan Sparks,Harry Dean Stanton,United States,-13111157.806083765,2728446.0,Superlative Films,88.0,September,29,2017,9,2017-09-29,3,Friday
7182,God's Own Country,Not Rated,Drama,7.7,27000.0,Francis Lee,Francis Lee,Josh O'Connor,United Kingdom,-9146052.321632762,2559939.0,British Film Institute (BFI),104.0,August,24,2017,8,2017-08-24,3,Thursday
7185,Columbus,Not Rated,Drama,7.2,15000.0,Kogonada,Kogonada,John Cho,United States,-8268804.415272396,1093077.0,Depth of Field,100.0,August,4,2017,8,2017-08-04,3,Friday
7206,Gook,Unrated,Drama,7.0,2300.0,Justin Chon,Justin Chon,Simone Baker,United States,-4082013.851328805,251541.0,Datari Turner Productions,94.0,January,19,2018,1,2018-01-19,1,Friday
7212,Ghost Stories,Not Rated,Drama,6.4,32000.0,Jeremy Dyson,Jeremy Dyson,Samuel Bottomley,United Kingdom,-3774601.736881051,4131358.0,Warp Films,98.0,April,20,2018,4,2018-04-20,2,Friday
7224,Take Me,TV-MA,Comedy,6.1,4900.0,Pat Healy,Mike Makowsky,Pat Healy,United States,-9655770.821752366,2583.0,Duplass Brothers Productions,83.0,May,5,2017,5,2017-05-05,2,Friday
7225,The Last Movie Star,R,Drama,7.0,3700.0,Adam Rifkin,Adam Rifkin,Burt Reynolds,United States,-2048410.1808506176,14410.0,Broken Twig Productions Inc.,94.0,March,30,2018,3,2018-03-30,1,Friday
7234,Climax,R,Drama,7.0,57000.0,Gaspar Noé,Gaspar Noé,Sofia Boutella,France,-118237.74643836915,2027391.0,Rectangle Productions,97.0,September,19,2018,9,2018-09-19,3,Wednesday
7243,Blindspotting,R,Comedy,7.4,29000.0,Carlos López Estrada,Rafael Casal,Daveed Diggs,United States,-892539.047325775,5006989.0,Snoot Entertainment,95.0,July,27,2018,7,2018-07-27,3,Friday
7249,Cold War,R,Drama,7.6,52000.0,Pawel Pawlikowski,Pawel Pawlikowski,Joanna Kulig,Poland,-5626654.355373248,20343051.0,Opus Film,89.0,June,8,2018,6,2018-06-08,2,Friday
7251,Summer of 84,Not Rated,Drama,6.7,36000.0,François Simard,Matt Leslie,Graham Verchere,Canada,-2583549.790945772,42027.0,Brightlight Pictures,105.0,August,10,2018,8,2018-08-10,3,Friday
7254,We Have Always Lived in the Castle,Not Rated,Drama,5.6,6100.0,Stacie Passon,Mark Kruger,Taissa Farmiga,United States,-3451620.60087784,62567.0,Mighty Engine,90.0,May,17,2019,5,2019-05-17,2,Friday
7255,The Miseducation of Cameron Post,Not Rated,Drama,6.6,20000.0,Desiree Akhavan,Desiree Akhavan,Chloë Grace Moretz,United States,-9082303.748799238,1474577.0,Beachside Films,91.0,September,7,2018,9,2018-09-07,3,Friday
7272,The Guilty,R,Crime,7.5,48000.0,Gustav Möller,Gustav Möller,Jakob Cedergren,Denmark,-4428034.198275637,4598051.0,Nordisk Film / SPRING,85.0,October,19,2018,10,2018-10-19,4,Friday
