name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
The Glass Menagerie,PG,Drama,1987,"May 27, 1987 (France)",7.1,1900.0,Paul Newman,Tennessee Williams,Joanne Woodward,United States,,895904.0,Cineplex Odeon Films,134.0,May,27,1987,(France),5,1987-05-27,2,Wednesday,The Glass Menagerie (1987),the_glass_menagerie_1987,
Anna,PG-13,Drama,1987,"November 28, 1987 (United States)",6.5,639.0,Yurek Bogayevicz,Yurek Bogayevicz,Sally Kirkland,United States,,1236848.0,Magnus Films,100.0,November,28,1987,(United States),11,1987-11-28,4,Saturday,Anna (1987),anna_1987,
Movers & Shakers,PG,Comedy,1985,"March 31, 1988 (Italy)",4.2,468.0,William Asher,Charles Grodin,Walter Matthau,United States,,372438.0,Asher-Grodin Productions,80.0,March,31,1988,(Italy),3,1988-03-31,1,Thursday,Movers & Shakers (1988),movers_shakers_1988,
When the Wind Blows,Not Rated,Animation,1986,"March 11, 1988 (United States)",7.7,10000.0,Jimmy T. Murakami,Raymond Briggs,Peggy Ashcroft,United Kingdom,,5274.0,Meltdown Productions,84.0,March,11,1988,(United States),3,1988-03-11,1,Friday,When the Wind Blows (1988),when_the_wind_blows_1988,
Biggles: Adventures in Time,PG,Adventure,1986,"January 29, 1988 (United States)",5.7,2800.0,John Hough,W.E. Johns,Neil Dickson,United Kingdom,,,Compact Yellowbill,108.0,January,29,1988,(United States),1,1988-01-29,1,Friday,Biggles: Adventures in Time (1988),biggles_adventures_in_time_1988,£7 million[3]
The Last Emperor,PG-13,Biography,1987,"April 15, 1988 (United States)",7.7,97000.0,Bernardo Bertolucci,Mark Peploe,John Lone,United Kingdom,,43993869.0,Recorded Picture Company (RPC),163.0,April,15,1988,(United States),4,1988-04-15,2,Friday,The Last Emperor (1988),the_last_emperor_1988,$23.8 million[2]
Wings of Desire,PG-13,Drama,1987,"May 6, 1988 (United States)",8.0,67000.0,Wim Wenders,Wim Wenders,Bruno Ganz,West Germany,,3404057.0,Road Movies Filmproduktion,128.0,May,6,1988,(United States),5,1988-05-06,2,Friday,Wings of Desire (1988),wings_of_desire_1988,5 million DM[3]
My Best Friend Is a Vampire,PG,Comedy,1987,"May 6, 1988 (United States)",6.1,3300.0,Jimmy Huston,Tab Murphy,Robert Sean Leonard,United States,,174380.0,Kings Road Entertainment,89.0,May,6,1988,(United States),5,1988-05-06,2,Friday,My Best Friend Is a Vampire (1988),my_best_friend_is_a_vampire_1988,
Au Revoir les Enfants,PG,Drama,1987,"February 12, 1988 (United States)",8.0,32000.0,Louis Malle,Louis Malle,Gaspard Manesse,France,,4575613.0,Nouvelles Éditions de Films (NEF),104.0,February,12,1988,(United States),2,1988-02-12,1,Friday,Au Revoir les Enfants (1988),au_revoir_les_enfants_1988,
Hope and Glory,PG-13,Comedy,1987,"February 19, 1988 (United States)",7.3,13000.0,John Boorman,John Boorman,Sarah Miles,United Kingdom,,10021120.0,Columbia Pictures,113.0,February,19,1988,(United States),2,1988-02-19,1,Friday,Hope and Glory (1988),hope_and_glory_1988,$9.3 million[1] or £5.56 million[2]
Babette's Feast,G,Drama,1987,"March 4, 1988 (United States)",7.8,19000.0,Gabriel Axel,Karen Blixen,Stéphane Audran,Denmark,,4637920.0,Panorama Film A/S,103.0,March,4,1988,(United States),3,1988-03-04,1,Friday,Babette's Feast (1988),babette_s_feast_1988,
Bagdad Cafe,PG,Comedy,1987,"April 22, 1988 (United States)",7.4,13000.0,Percy Adlon,Eleonore Adlon,Marianne Sägebrecht,West Germany,,3731829.0,Pelemele Film,95.0,April,22,1988,(United States),4,1988-04-22,2,Friday,Bagdad Cafe (1988),bagdad_cafe_1988,
Pelle the Conqueror,PG-13,Drama,1987,"December 21, 1988 (United States)",7.8,10000.0,Bille August,Martin Andersen Nexø,Pelle Hvenegaard,Denmark,,2063688.0,Per Holst Filmproduktion,157.0,December,21,1988,(United States),12,1988-12-21,4,Wednesday,Pelle the Conqueror (1988),pelle_the_conqueror_1988,$4.5 million[3]
The Curse,R,Horror,1987,"September 14, 1988 (Spain)",5.1,2900.0,David Keith,David Chaskin,Wil Wheaton,Italy,,1930001.0,Trans World Entertainment (TWE),92.0,September,14,1988,(Spain),9,1988-09-14,3,Wednesday,The Curse (1988),the_curse_1988,
Housekeeping,PG,Comedy,1987,"February 5, 1988 (Sweden)",7.2,2300.0,Bill Forsyth,Marilynne Robinson,Christine Lahti,United States,,1083282.0,Columbia Pictures,116.0,February,5,1988,(Sweden),2,1988-02-05,1,Friday,Housekeeping (1988),housekeeping_1988,$5 million[1]
Nightflyers,R,Horror,1987,"April 7, 1988 (Australia)",4.3,1100.0,Robert Collector,George R.R. Martin,Catherine Mary Stewart,United States,,1149470.0,Vista Organization,89.0,April,7,1988,(Australia),4,1988-04-07,2,Thursday,Nightflyers (1988),nightflyers_1988,
Boyfriends and Girlfriends,PG,Comedy,1987,"July 15, 1988 (United States)",7.6,4300.0,Éric Rohmer,Éric Rohmer,Emmanuelle Chaulet,France,,824024.0,Les Films du Losange,103.0,July,15,1988,(United States),7,1988-07-15,3,Friday,Boyfriends and Girlfriends (1988),boyfriends_and_girlfriends_1988,
Promised Land,R,Drama,1987,"January 22, 1988 (United States)",5.7,1200.0,Michael Hoffman,Michael Hoffman,Jason Gedrick,United States,,316199.0,Great American Films Limited Partnership,102.0,January,22,1988,(United States),1,1988-01-22,1,Friday,Promised Land (1988),promised_land_1988,
Little Dorrit,G,Drama,1987,"October 21, 1988 (United States)",7.3,1000.0,Christine Edzard,Charles Dickens,Derek Jacobi,United Kingdom,,1025228.0,Sands,357.0,October,21,1988,(United States),10,1988-10-21,4,Friday,Little Dorrit (1988),little_dorrit_1988,
Pass the Ammo,R,Comedy,1987,"March 4, 1988 (United States)",6.1,512.0,David Beaird,Joel Cohen,Bill Paxton,United States,,169785.0,The Vista Organisation,93.0,March,4,1988,(United States),3,1988-03-04,1,Friday,Pass the Ammo (1988),pass_the_ammo_1988,
Square Dance,PG-13,Drama,1987,"January 9, 1988 (Japan)",5.9,878.0,Daniel Petrie,Alan Hines,Jason Robards,United States,,225358.0,Island Pictures,112.0,January,9,1988,(Japan),1,1988-01-09,1,Saturday,Square Dance (1988),square_dance_1988,
Shy People,R,Drama,1987,"March 11, 1988 (United States)",6.7,1200.0,Andrey Konchalovskiy,Andrey Konchalovskiy,Jill Clayburgh,United States,,,The Cannon Group,118.0,March,11,1988,(United States),3,1988-03-11,1,Friday,Shy People (1988),shy_people_1988,
Anguish,R,Horror,1987,"January 8, 1988 (United States)",6.7,3500.0,Bigas Luna,Bigas Luna,Zelda Rubinstein,Spain,,,Luna Films,89.0,January,8,1988,(United States),1,1988-01-08,1,Friday,Anguish (1988),anguish_1988,"$2,000,000 (estimated)"
Julia and Julia,R,Drama,1987,"February 5, 1988 (United States)",5.6,771.0,Peter Del Monte,Peter Del Monte,Kathleen Turner,Italy,,901364.0,RAI Radiotelevisione Italiana,98.0,February,5,1988,(United States),2,1988-02-05,1,Friday,Julia and Julia (1988),julia_and_julia_1988,
Cold Steel,R,Action,1987,"April 9, 1988 (Japan)",4.5,697.0,Dorothy Ann Puzo,Lisa M. Hansen,Brad Davis,United States,,285885.0,Cinetel Films,91.0,April,9,1988,(Japan),4,1988-04-09,2,Saturday,Cold Steel (1988),cold_steel_1988,
Akira,R,Animation,1988,"July 16, 1988 (Japan)",8.0,171000.0,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Mitsuo Iwata,Japan,,2562351.0,Akira Committee Company Ltd.,124.0,July,16,1988,(Japan),7,1988-07-16,3,Saturday,Akira (1988),akira_1988,¥700 million[1] ($5.5 million)[2]
The Big Blue,PG,Adventure,1988,"August 19, 1988 (United States)",7.6,49000.0,Luc Besson,Luc Besson,Jean-Marc Barr,France,,3975244.0,Gaumont,168.0,August,19,1988,(United States),8,1988-08-19,3,Friday,The Big Blue (1988),the_big_blue_1988,FRF 80 million[2](est. USD$13.5 million)
Two Moon Junction,R,Drama,1988,"April 29, 1988 (United States)",5.1,5200.0,Zalman King,Zalman King,Sherilyn Fenn,United States,,1547397.0,DDM Film Corporation,104.0,April,29,1988,(United States),4,1988-04-29,2,Friday,Two Moon Junction (1988),two_moon_junction_1988,
Dirty Rotten Scoundrels,PG,Comedy,1988,"December 14, 1988 (United States)",7.4,67000.0,Frank Oz,Dale Launer,Steve Martin,United States,,42039085.0,Orion Pictures,110.0,December,14,1988,(United States),12,1988-12-14,4,Wednesday,Dirty Rotten Scoundrels (1988),dirty_rotten_scoundrels_1988,
Stand and Deliver,PG,Biography,1988,"March 11, 1988 (United States)",7.3,17000.0,Ramón Menéndez,Ramón Menéndez,Edward James Olmos,United States,,13994920.0,American Playhouse,103.0,March,11,1988,(United States),3,1988-03-11,1,Friday,Stand and Deliver (1988),stand_and_deliver_1988,$1.6 million[1]
Police Academy 5: Assignment: Miami Beach,PG,Comedy,1988,"March 18, 1988 (United States)",4.6,33000.0,Alan Myerson,Neal Israel,Bubba Smith,United States,,19510371.0,Warner Bros.,90.0,March,18,1988,(United States),3,1988-03-18,1,Friday,Police Academy 5: Assignment: Miami Beach (1988),police_academy_5_assignment_miami_beach_1988,$14 million[2]
Taffin,R,Action,1988,"February 26, 1988 (United States)",5.5,1600.0,Francis Megahy,David Ambrose,Pierce Brosnan,United Kingdom,,159969.0,United British Artists (UBA),96.0,February,26,1988,(United States),2,1988-02-26,1,Friday,Taffin (1988),taffin_1988,
A Night in the Life of Jimmy Reardon,R,Comedy,1988,"February 26, 1988 (United States)",5.5,2600.0,William Richert,William Richert,River Phoenix,United States,,6264058.0,Island Pictures,90.0,February,26,1988,(United States),2,1988-02-26,1,Friday,A Night in the Life of Jimmy Reardon (1988),a_night_in_the_life_of_jimmy_reardon_1988,$5 million[citation needed]
The Presidio,R,Action,1988,"June 10, 1988 (United States)",6.0,17000.0,Peter Hyams,Larry Ferguson,Sean Connery,United States,,20324096.0,Paramount Pictures,97.0,June,10,1988,(United States),6,1988-06-10,2,Friday,The Presidio (1988),the_presidio_1988,
Big Business,PG,Comedy,1988,"June 10, 1988 (United States)",6.4,13000.0,Jim Abrahams,Dori Pierson,Bette Midler,United States,,40150487.0,Touchstone Pictures,97.0,June,10,1988,(United States),6,1988-06-10,2,Friday,Big Business (1988),big_business_1988,$20 million
The Seventh Sign,R,Drama,1988,"April 1, 1988 (United States)",5.9,14000.0,Carl Schultz,Ellen Green,Demi Moore,United States,,18875011.0,TriStar Pictures,97.0,April,1,1988,(United States),4,1988-04-01,2,Friday,The Seventh Sign (1988),the_seventh_sign_1988,
Buster,R,Comedy,1988,"November 23, 1988 (United States)",5.9,3600.0,David Green,Colin Shindler,Phil Collins,United Kingdom,,540000.0,The Movie Group,102.0,November,23,1988,(United States),11,1988-11-23,4,Wednesday,Buster (1988),buster_1988,
Big Top Pee-wee,PG,Adventure,1988,"July 22, 1988 (United States)",5.1,8800.0,Randal Kleiser,Paul Reubens,Paul Reubens,United States,,15122324.0,Paramount Pictures,86.0,July,22,1988,(United States),7,1988-07-22,3,Friday,Big Top Pee-wee (1988),big_top_pee_wee_1988,$7 million
For Keeps?,PG-13,Comedy,1988,"January 15, 1988 (United States)",5.9,4500.0,John G. Avildsen,Tim Kazurinsky,Molly Ringwald,United States,,17514553.0,TriStar Pictures,90.0,January,15,1988,(United States),1,1988-01-15,1,Friday,For Keeps? (1988),for_keeps_1988,
Some Girls,R,Comedy,1988,"September 9, 1988 (United States)",5.8,3100.0,Michael Hoffman,Rupert Walters,Patrick Dempsey,United Kingdom,,401421.0,Metro-Goldwyn-Mayer (MGM),94.0,September,9,1988,(United States),9,1988-09-09,3,Friday,Some Girls (1988),some_girls_1988,
Satisfaction,PG-13,Comedy,1988,"February 12, 1988 (United States)",4.9,3400.0,Joan Freeman,Charles Purpura,Justine Bateman,United States,,8253123.0,National Broadcasting Company (NBC),92.0,February,12,1988,(United States),2,1988-02-12,1,Friday,Satisfaction (1988),satisfaction_1988,$13 million
18 Again!,PG,Comedy,1988,"April 8, 1988 (United States)",5.7,4400.0,Paul Flaherty,Josh Goldstein,Charlie Schlatter,United States,,2567099.0,New World Entertainment Films,93.0,April,8,1988,(United States),4,1988-04-08,2,Friday,18 Again! (1988),18_again_1988,
Vice Versa,PG,Comedy,1988,"March 11, 1988 (United States)",5.9,9300.0,Brian Gilbert,Dick Clement,Judge Reinhold,United States,,13664060.0,Columbia Pictures,98.0,March,11,1988,(United States),3,1988-03-11,1,Friday,Vice Versa (1988),vice_versa_1988,$10 million[1]
Bat*21,R,Drama,1988,"October 21, 1988 (United States)",6.5,8300.0,Peter Markle,William C. Anderson,Gene Hackman,United States,,3966256.0,TriStar Pictures,105.0,October,21,1988,(United States),10,1988-10-21,4,Friday,Bat*21 (1988),bat_21_1988,
Casual Sex?,R,Comedy,1988,"April 22, 1988 (United States)",5.0,3800.0,Geneviève Robert,Wendy Goldman,Lea Thompson,United States,,12277096.0,Jascat,97.0,April,22,1988,(United States),4,1988-04-22,2,Friday,Casual Sex? (1988),casual_sex_1988,
Stealing Home,PG-13,Drama,1988,"August 26, 1988 (United States)",6.7,4200.0,Steven Kampmann,Steven Kampmann,Mark Harmon,United States,,7467504.0,The Mount Company,98.0,August,26,1988,(United States),8,1988-08-26,3,Friday,Stealing Home (1988),stealing_home_1988,$8 million
Salaam Bombay!,Not Rated,Crime,1988,"October 7, 1988 (United States)",8.0,8800.0,Mira Nair,Mira Nair,Shafiq Syed,United States,,2080758.0,Mirabai Films,113.0,October,7,1988,(United States),10,1988-10-07,4,Friday,Salaam Bombay! (1988),salaam_bombay_1988,"$450,000[3]"
Return to Snowy River,PG,Adventure,1988,"April 15, 1988 (United States)",6.6,2400.0,Geoff Burrowes,John Dixon,Tom Burlinson,Australia,,13687027.0,Burrowes Film Group,99.0,April,15,1988,(United States),4,1988-04-15,2,Friday,Return to Snowy River (1988),return_to_snowy_river_1988,
Moving,R,Comedy,1988,"March 4, 1988 (United States)",6.2,5300.0,Alan Metter,Andy Breckman,Richard Pryor,United States,,10815378.0,Warner Bros.,89.0,March,4,1988,(United States),3,1988-03-04,1,Friday,Moving (1988),moving_1988,
And God Created Woman,R,Comedy,1988,"March 4, 1988 (United States)",4.3,1800.0,Roger Vadim,R.J. Stewart,Rebecca De Mornay,United States,,717376.0,Vestron Pictures,100.0,March,4,1988,(United States),3,1988-03-04,1,Friday,And God Created Woman (1988),and_god_created_woman_1988,$5 million[1]
Torch Song Trilogy,R,Comedy,1988,"December 14, 1988 (United States)",7.7,6800.0,Paul Bogart,Harvey Fierstein,Anne Bancroft,United States,,4870903.0,New Line Cinema,120.0,December,14,1988,(United States),12,1988-12-14,4,Wednesday,Torch Song Trilogy (1988),torch_song_trilogy_1988,"$1,800,000"
D.O.A.,R,Mystery,1988,"March 18, 1988 (United States)",6.2,9700.0,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,United States,,12706478.0,Bigelow Productions,96.0,March,18,1988,(United States),3,1988-03-18,1,Friday,D.O.A. (1988),d_o_a_1988,
Braddock: Missing in Action III,R,Action,1988,"January 22, 1988 (United States)",4.9,6000.0,Aaron Norris,Arthur Silver,Chuck Norris,United States,,6193901.0,The Cannon Group,103.0,January,22,1988,(United States),1,1988-01-22,1,Friday,Braddock: Missing in Action III (1988),braddock_missing_in_action_iii_1988,$9 million
Watchers,R,Action,1988,"December 2, 1988 (United States)",5.4,4000.0,Jon Hess,Dean R. Koontz,Corey Haim,Canada,,940173.0,Concorde Pictures,91.0,December,2,1988,(United States),12,1988-12-02,4,Friday,Watchers (1988),watchers_1988,
The Unholy,R,Horror,1988,"April 22, 1988 (United States)",5.0,1700.0,Camilo Vila,Philip Yordan,Ben Cross,United States,,6337299.0,Vestron Pictures,102.0,April,22,1988,(United States),4,1988-04-22,2,Friday,The Unholy (1988),the_unholy_1988,
A New Life,PG-13,Comedy,1988,"March 25, 1988 (United States)",5.8,497.0,Alan Alda,Alan Alda,Alan Alda,United States,,7721852.0,Paramount Pictures,104.0,March,25,1988,(United States),3,1988-03-25,1,Friday,A New Life (1988),a_new_life_1988,$12 million
Arthur 2: on the Rocks,PG,Comedy,1988,"July 8, 1988 (United States)",4.6,6100.0,Bud Yorkin,Steve Gordon,Dudley Moore,United States,,14681192.0,Warner Bros.,113.0,July,8,1988,(United States),7,1988-07-08,3,Friday,Arthur 2: on the Rocks (1988),arthur_2_on_the_rocks_1988,
Messenger of Death,R,Action,1988,"September 17, 1988 (United States)",5.5,2600.0,J. Lee Thompson,Rex Burns,Charles Bronson,United States,,3074681.0,The Cannon Group,91.0,September,17,1988,(United States),9,1988-09-17,3,Saturday,Messenger of Death (1988),messenger_of_death_1988,unknown
Without a Clue,PG,Comedy,1988,"October 21, 1988 (United States)",7.0,9800.0,Thom Eberhardt,Gary Murphy,Michael Caine,United Kingdom,,8539181.0,Incorporated Television Company (ITC),107.0,October,21,1988,(United States),10,1988-10-21,4,Friday,Without a Clue (1988),without_a_clue_1988,
Miles from Home,R,Action,1988,"September 16, 1988 (United States)",5.7,1300.0,Gary Sinise,Chris Gerolmo,Richard Gere,United States,,188964.0,Cinecom Pictures,108.0,September,16,1988,(United States),9,1988-09-16,3,Friday,Miles from Home (1988),miles_from_home_1988,
Clean and Sober,R,Drama,1988,"August 10, 1988 (United States)",6.7,5700.0,Glenn Gordon Caron,Tod Carroll,Michael Keaton,United States,,8674093.0,Imagine Films Entertainment,124.0,August,10,1988,(United States),8,1988-08-10,3,Wednesday,Clean and Sober (1988),clean_and_sober_1988,$12 million[citation needed]
Things Change,PG,Comedy,1988,"October 21, 1988 (United States)",7.0,3400.0,David Mamet,David Mamet,Don Ameche,United States,,3527886.0,Columbia Pictures,100.0,October,21,1988,(United States),10,1988-10-21,4,Friday,Things Change (1988),things_change_1988,
Kansas,R,Crime,1988,"September 23, 1988 (United States)",5.5,997.0,David Stevens,Spencer Eastman,Matt Dillon,United States,,2432536.0,Trans World Entertainment (TWE),108.0,September,23,1988,(United States),9,1988-09-23,3,Friday,Kansas (1988),kansas_1988,
Hot to Trot,PG,Comedy,1988,"August 26, 1988 (United States)",4.4,3100.0,Michael Dinner,Stephen Neigher,Bobcat Goldthwait,United States,,6436211.0,Warner Bros.,83.0,August,26,1988,(United States),8,1988-08-26,3,Friday,Hot to Trot (1988),hot_to_trot_1988,$9 million
The Chocolate War,R,Drama,1988,"November 18, 1988 (United States)",6.7,2100.0,Keith Gordon,Robert Cormier,John Glover,United States,,303624.0,Management Company Entertainment Group (MCEG),100.0,November,18,1988,(United States),11,1988-11-18,4,Friday,The Chocolate War (1988),the_chocolate_war_1988,"$500,000"
It Takes Two,PG-13,Comedy,1988,"July 13, 1988 (United States)",5.4,688.0,David Beaird,Richard Christian Matheson,George Newbern,United States,,344375.0,United Artists,81.0,July,13,1988,(United States),7,1988-07-13,3,Wednesday,It Takes Two (1988),it_takes_two_1988,
Iron Eagle II,PG,Action,1988,"November 11, 1988 (United States)",3.8,4700.0,Sidney J. Furie,Kevin Alyn Elders,Louis Gossett Jr.,Canada,,10497324.0,Carolco Pictures,105.0,November,11,1988,(United States),11,1988-11-11,4,Friday,Iron Eagle II (1988),iron_eagle_ii_1988,
Patty Hearst,R,Biography,1988,"September 23, 1988 (United States)",6.3,1700.0,Paul Schrader,Patricia Hearst,Natasha Richardson,United Kingdom,,1223326.0,Atlantic Entertainment Group,108.0,September,23,1988,(United States),9,1988-09-23,3,Friday,Patty Hearst (1988),patty_hearst_1988,
A Handful of Dust,PG,Drama,1988,"June 24, 1988 (United States)",6.6,1900.0,Charles Sturridge,Evelyn Waugh,James Wilby,United Kingdom,,1560700.0,Handful of Dust,118.0,June,24,1988,(United States),6,1988-06-24,2,Friday,A Handful of Dust (1988),a_handful_of_dust_1988,
A Summer Story,PG-13,Drama,1988,"July 23, 1988 (South Korea)",7.3,998.0,Piers Haggard,John Galsworthy,Imogen Stubbs,United Kingdom,,,Incorporated Television Company (ITC),95.0,July,23,1988,(South Korea),7,1988-07-23,3,Saturday,A Summer Story (1988),a_summer_story_1988,
Hero and the Terror,R,Action,1988,"August 26, 1988 (United States)",5.3,3500.0,William Tannen,Michael Blodgett,Chuck Norris,United States,,5301200.0,Golan-Globus Productions,96.0,August,26,1988,(United States),8,1988-08-26,3,Friday,Hero and the Terror (1988),hero_and_the_terror_1988,
"Distant Voices, Still Lives",PG-13,Drama,1988,"November 16, 1988 (France)",7.4,3900.0,Terence Davies,Terence Davies,Pete Postlethwaite,United Kingdom,,771745.0,British Film Institute (BFI),84.0,November,16,1988,(France),11,1988-11-16,4,Wednesday,"Distant Voices, Still Lives (1988)",distant_voices_still_lives_1988,"£703,000[1]"
Feds,PG-13,Comedy,1988,"October 28, 1988 (United States)",5.4,3000.0,Daniel Goldberg,Len Blum,Rebecca De Mornay,United States,,3838793.0,Warner Bros.,82.0,October,28,1988,(United States),10,1988-10-28,4,Friday,Feds (1988),feds_1988,
The Adventures of Milo and Otis,G,Adventure,1986,"August 25, 1989 (United States)",7.0,11000.0,Masanori Hata,Masanori Hata,Kyôko Koizumi,Japan,,13299749.0,Fuji Television Network,76.0,August,25,1989,(United States),8,1989-08-25,3,Friday,The Adventures of Milo and Otis (1989),the_adventures_of_milo_and_otis_1989,¥800 million[1]
Gandahar,PG,Animation,1987,"September 20, 1989 (United States)",7.1,4500.0,René Laloux,René Laloux,Glenn Close,France,,370698.0,Col.Ima.Son,78.0,September,20,1989,(United States),9,1989-09-20,3,Wednesday,Gandahar (1989),gandahar_1989,
Four Adventures of Reinette and Mirabelle,Not Rated,Comedy,1987,"July 19, 1989 (United States)",7.6,2200.0,Éric Rohmer,Éric Rohmer,Joëlle Miquel,France,,22039.0,Compagnie Eric Rohmer (CER),99.0,July,19,1989,(United States),7,1989-07-19,3,Wednesday,Four Adventures of Reinette and Mirabelle (1989),four_adventures_of_reinette_and_mirabelle_1989,
"No Retreat, No Surrender 2",R,Adventure,1987,"January 27, 1989 (United States)",5.1,1600.0,Corey Yuen,Maria Elena Cellino,Loren Avedon,Hong Kong,,,Seasonal Film Corporation,92.0,January,27,1989,(United States),1,1989-01-27,1,Friday,"No Retreat, No Surrender 2 (1989)",no_retreat_no_surrender_2_1989,
The Accidental Tourist,PG,Drama,1988,"January 6, 1989 (United States)",6.8,15000.0,Lawrence Kasdan,Anne Tyler,William Hurt,United States,,32632093.0,Warner Bros.,121.0,January,6,1989,(United States),1,1989-01-06,1,Friday,The Accidental Tourist (1989),the_accidental_tourist_1989,
The Bear,PG,Adventure,1988,"October 27, 1989 (United States)",7.7,17000.0,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,France,,31753898.0,Price,96.0,October,27,1989,(United States),10,1989-10-27,4,Friday,The Bear (1989),the_bear_1989,
Young Einstein,PG,Comedy,1988,"August 4, 1989 (United States)",5.2,8500.0,Yahoo Serious,Yahoo Serious,Yahoo Serious,Australia,,11536599.0,Warner Bros.,91.0,August,4,1989,(United States),8,1989-08-04,3,Friday,Young Einstein (1989),young_einstein_1989,$5 million[1]
High Hopes,PG,Comedy,1988,"May 25, 1989 (Italy)",7.4,4800.0,Mike Leigh,Mike Leigh,Phil Davis,United Kingdom,,1192322.0,Portman Productions,108.0,May,25,1989,(Italy),5,1989-05-25,2,Thursday,High Hopes (1989),high_hopes_1989,£1.28 million[1]
Camille Claudel,R,Biography,1988,"December 21, 1989 (United States)",7.3,6400.0,Bruno Nuytten,Reine-Marie Paris,Isabelle Adjani,France,,3331297.0,Les Films Christian Fechner,175.0,December,21,1989,(United States),12,1989-12-21,4,Thursday,Camille Claudel (1989),camille_claudel_1989,
36 fillette,,Romance,1988,"January 6, 1989 (United States)",6.0,1200.0,Catherine Breillat,Catherine Breillat,Delphine Zentout,France,,,CB Films,88.0,January,6,1989,(United States),1,1989-01-06,1,Friday,36 fillette (1989),36_fillette_1989,
Paperhouse,PG-13,Drama,1988,"February 17, 1989 (United States)",6.7,5500.0,Bernard Rose,Catherine Storr,Charlotte Burke,United Kingdom,,241278.0,Working Title Films,92.0,February,17,1989,(United States),2,1989-02-17,1,Friday,Paperhouse (1989),paperhouse_1989,
Heart of Midnight,R,Drama,1988,"March 3, 1989 (United States)",5.4,1200.0,Matthew Chapman,Matthew Chapman,Jennifer Jason Leigh,United States,,,Virgin Vision,93.0,March,3,1989,(United States),3,1989-03-03,1,Friday,Heart of Midnight (1989),heart_of_midnight_1989,$5 million[1]
976-EVIL,R,Comedy,1988,"March 24, 1989 (United States)",5.1,4900.0,Robert Englund,Rhet Topham,Stephen Geoffreys,United States,,2955917.0,Cinetel Films,92.0,March,24,1989,(United States),3,1989-03-24,1,Friday,976-EVIL (1989),976_evil_1989,
Criminal Law,R,Crime,1988,"April 28, 1989 (United States)",5.7,3800.0,Martin Campbell,Mark Kasdan,Gary Oldman,United States,,9974446.0,Hemdale,117.0,April,28,1989,(United States),4,1989-04-28,2,Friday,Criminal Law (1989),criminal_law_1989,$5 million[1]
The Girl in a Swing,R,Drama,1988,"September 29, 1989 (United States)",5.4,613.0,Gordon Hessler,Richard Adams,Meg Tilly,United Kingdom,,747013.0,Panorama,119.0,September,29,1989,(United States),9,1989-09-29,3,Friday,The Girl in a Swing (1989),the_girl_in_a_swing_1989,$1.7 million[1]
Field of Dreams,PG,Drama,1989,"May 5, 1989 (United States)",7.5,111000.0,Phil Alden Robinson,W.P. Kinsella,Kevin Costner,United States,,84431625.0,Gordon Company,107.0,May,5,1989,(United States),5,1989-05-05,2,Friday,Field of Dreams (1989),field_of_dreams_1989,$15 million[1][2]
Weekend at Bernie's,PG-13,Adventure,1989,"July 5, 1989 (United States)",6.4,51000.0,Ted Kotcheff,Robert Klane,Andrew McCarthy,United States,,30218387.0,Gladden Entertainment,97.0,July,5,1989,(United States),7,1989-07-05,3,Wednesday,Weekend at Bernie's (1989),weekend_at_bernie_s_1989,$15 million[3]
The Karate Kid Part III,PG,Action,1989,"June 30, 1989 (United States)",5.3,56000.0,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,United States,,38956288.0,Columbia Pictures,112.0,June,30,1989,(United States),6,1989-06-30,2,Friday,The Karate Kid Part III (1989),the_karate_kid_part_iii_1989,$12.5 million[2]
Say Anything,PG-13,Comedy,1989,"April 14, 1989 (United States)",7.3,85000.0,Cameron Crowe,Cameron Crowe,John Cusack,United States,,21515196.0,Gracie Films,100.0,April,14,1989,(United States),4,1989-04-14,2,Friday,Say Anything (1989),say_anything_1989,$16 million[1]
Shirley Valentine,R,Comedy,1989,"August 30, 1989 (United States)",7.2,7400.0,Lewis Gilbert,Willy Russell,Pauline Collins,United Kingdom,,6056912.0,Paramount Pictures,108.0,August,30,1989,(United States),8,1989-08-30,3,Wednesday,Shirley Valentine (1989),shirley_valentine_1989,
Little Monsters,PG,Adventure,1989,"August 25, 1989 (United States)",6.1,12000.0,Richard Greenberg,Terry Rossio,Fred Savage,United States,,793775.0,Davis Entertainment,100.0,August,25,1989,(United States),8,1989-08-25,3,Friday,Little Monsters (1989),little_monsters_1989,$7.1 million[citation needed]
Dream a Little Dream,PG-13,Comedy,1989,"March 3, 1989 (United States)",5.8,6500.0,Marc Rocco,Daniel Jay Franklin,Corey Feldman,United States,,5552441.0,Lightning Pictures,114.0,March,3,1989,(United States),3,1989-03-03,1,Friday,Dream a Little Dream (1989),dream_a_little_dream_1989,
She's Out of Control,PG,Comedy,1989,"April 14, 1989 (United States)",5.4,4100.0,Stan Dragoti,Seth Winston,Tony Danza,United States,,12065892.0,Weintraub Entertainment Group,90.0,April,14,1989,(United States),4,1989-04-14,2,Friday,She's Out of Control (1989),she_s_out_of_control_1989,$12 million[citation needed]
